Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
11/12/2020;ZELLIDJA S.A;0,00;74,61;-;-;0;42740263,90
10/12/2020;ZELLIDJA S.A;0,00;74,61;-;-;0;42740263,90
09/12/2020;ZELLIDJA S.A;0,00;74,61;-;-;0;42740263,90
08/12/2020;ZELLIDJA S.A;0,00;74,61;-;-;0;42740263,90
07/12/2020;ZELLIDJA S.A;74,61;74,61;74,61;74,61;2;42740263,90
04/12/2020;ZELLIDJA S.A;0,00;76,13;-;-;0;43610994,40
03/12/2020;ZELLIDJA S.A;76,13;76,13;76,13;76,13;4;43610994,40
02/12/2020;ZELLIDJA S.A;0,00;76,13;-;-;0;43610994,40
01/12/2020;ZELLIDJA S.A;76,13;76,13;76,13;76,13;26;43610994,40
30/11/2020;ZELLIDJA S.A;77,68;77,68;77,68;77,68;15;44498910,30
27/11/2020;ZELLIDJA S.A;0,00;79,26;-;-;0;45404011,70
26/11/2020;ZELLIDJA S.A;79,26;79,26;79,26;79,26;22;45404011,70
25/11/2020;ZELLIDJA S.A;77,71;77,71;77,71;77,71;128;44516095,80
24/11/2020;ZELLIDJA S.A;0,00;77,43;-;-;0;44355698,10
23/11/2020;ZELLIDJA S.A;0,00;77,43;-;-;0;44355698,10
20/11/2020;ZELLIDJA S.A;0,00;77,43;-;-;0;44355698,10
19/11/2020;ZELLIDJA S.A;0,00;77,43;-;-;0;44355698,10
17/11/2020;ZELLIDJA S.A;0,00;77,43;-;-;0;44355698,10
16/11/2020;ZELLIDJA S.A;0,00;77,43;-;-;0;44355698,10
13/11/2020;ZELLIDJA S.A;77,43;77,43;77,43;77,43;72;44355698,10
12/11/2020;ZELLIDJA S.A;0,00;79,00;-;-;0;45255071,00
11/11/2020;ZELLIDJA S.A;0,00;79,00;-;-;0;45255071,00
10/11/2020;ZELLIDJA S.A;0,00;79,00;-;-;0;45255071,00
09/11/2020;ZELLIDJA S.A;0,00;79,00;-;-;0;45255071,00
05/11/2020;ZELLIDJA S.A;0,00;79,00;-;-;0;45255071,00
04/11/2020;ZELLIDJA S.A;0,00;79,00;-;-;0;45255071,00
03/11/2020;ZELLIDJA S.A;79,00;79,00;79,00;79,00;400;45255071,00
02/11/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
28/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
27/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
26/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
23/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
22/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
21/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
20/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
19/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
16/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
15/10/2020;ZELLIDJA S.A;78,00;78,00;78,00;78,00;48;44682222,00
14/10/2020;ZELLIDJA S.A;0,00;78,00;-;-;0;44682222,00
